AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-07T16:47:36,293.89
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-10T09:10:20,290.1
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-04T09:08:56,864.49
5506,0001,ITAU,MARIA,SAQUE,2022-02-09T07:24:30,324.96
4582,0007,ITAU,LUCIA,DEPOSITO,2022-02-08T10:09:50,983.87
9279,0008,CAIXA,MARCOS,DEPOSITO,2022-02-02T23:03:50,741.49
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-04T05:59:06,67.12
4582,0007,ITAU,LUCIA,SAQUE,2022-02-01T21:20:19,538.1
4582,0007,ITAU,LUCIA,DEPOSITO,2022-02-04T01:08:39,905.43
1434,0009,CAIXA,SANDRA,SAQUE,2022-02-03T16:55:52,24.64
4582,0007,ITAU,LUCIA,SAQUE,2022-02-04T07:19:37,282.47
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-04T06:37:40,989.53
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-10T17:40:04,670.24
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-06T05:11:04,128.32
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-08T00:09:57,193.1
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-05T02:28:28,22.01
7912,0005,SANTANDER,ANA,DEPOSITO,2022-02-01T17:04:43,165.47
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-07T17:08:19,860.92
1434,0009,CAIXA,SANDRA,SAQUE,2022-02-04T05:42:46,160.04
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-10T09:10:20,290.1
2679,0003,CAIXA,JULIA,SAQUE,2022-02-04T05:12:12,528.15
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-04T00:25:35,192.4
4657,0002,ITAU,FELIPE,SAQUE,2022-02-05T16:04:17,382.24
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-07T17:08:19,860.92
5506,0001,ITAU,MARIA,SAQUE,2022-02-03T18:42:54,821.98
1488,0006,SANTANDER,PEDRO,DEPOSITO,2022-02-04T20:05:35,929.09
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-05T07:00:58,780.34
1488,0006,SANTANDER,PEDRO,DEPOSITO,2022-02-03T11:29:41,670.06
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-07T05:45:31,238.77
9279,0008,CAIXA,MARCOS,DEPOSITO,2022-02-01T07:13:10,180.18
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-02T02:28:45,756.03
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-10T06:05:50,162.39
1488,0006,SANTANDER,PEDRO,DEPOSITO,2022-02-01T16:39:02,51.09
9279,0008,CAIXA,MARCOS,DEPOSITO,2022-02-08T12:46:50,749.73
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-01T08:02:21,116.23
4582,0007,ITAU,LUCIA,DEPOSITO,2022-02-04T11:00:30,158.59
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-03T13:55:55,655.78
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-01T02:05:40,71.92
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-02T03:28:27,97.83
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-01T11:16:45,858.73
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-09T12:25:11,936.72
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-01T16:34:02,960.82
2679,0003,CAIXA,JULIA,SAQUE,2022-02-08T06:27:18,324.83
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-07T13:03:47,133.18
2679,0003,CAIXA,JULIA,SAQUE,2022-02-02T00:56:54,732.18
2424,0004,CAIXA,CARLOS,DEPOSITO,2022-02-03T22:46:41,784.83
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-10T18:59:24,308.21
7912,0005,SANTANDER,ANA,DEPOSITO,2022-02-04T05:14:45,926.59
2679,0003,CAIXA,JULIA,SAQUE,2022-02-08T06:27:18,324.83
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-02T23:22:35,370.81
4582,0007,ITAU,LUCIA,SAQUE,2022-02-09T02:31:45,817.29
1434,0009,CAIXA,SANDRA,SAQUE,2022-02-08T05:45:50,435.13
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-06T13:29:07,621.54
2679,0003,CAIXA,JULIA,SAQUE,2022-02-02T13:23:48,660.09
9279,0008,CAIXA,MARCOS,DEPOSITO,2022-02-07T19:22:33,10.66
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-07T12:11:15,125.7
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-02T23:19:55,976.23
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-07T06:45:17,452.03
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-05T09:26:20,220.1
4582,0007,ITAU,LUCIA,SAQUE,2022-02-02T15:06:54,265.2
9279,0008,CAIXA,MARCOS,DEPOSITO,2022-02-07T19:22:33,10.66
4582,0007,ITAU,LUCIA,DEPOSITO,2022-02-03T11:18:07,687.81
7912,0005,SANTANDER,ANA,SAQUE,2022-02-08T00:41:54,736.0
7912,0005,SANTANDER,ANA,DEPOSITO,2022-02-02T21:05:16,190.71
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-09T16:33:20,650.23
1434,0009,CAIXA,SANDRA,SAQUE,2022-02-08T01:06:32,962.57
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-05T01:09:19,771.35
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-02T05:46:15,93.65
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-02T08:29:30,294.21
4657,0002,ITAU,FELIPE,DEPOSITO,2022-02-10T01:35:00,585.0
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-05T21:36:29,120.77
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-01T19:37:54,905.51
5506,0001,ITAU,MARIA,SAQUE,2022-02-02T05:25:07,380.75
7912,0005,SANTANDER,ANA,DEPOSITO,2022-02-06T03:12:35,696.89
1488,0006,SANTANDER,PEDRO,DEPOSITO,2022-02-05T19:16:51,131.75
2424,0004,CAIXA,CARLOS,SAQUE,2022-02-01T17:39:16,403.22
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-10T18:59:24,308.21
