AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
1071,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1039,1597,BRADESCO,PEDRO,DEPOSITO,2022-02-04T16:30:47,297.43
1062,6756,SANTANDER,CRISTINA,SAQUE,2022-02-04T18:33:33,45.9
1096,4695,SANTANDER,PEDRO,DEPOSITO,2022-02-06T19:40:32,85.46
1018,4658,BB,MARCELO,SAQUE,2022-02-07T14:29:48,745.91
1004,6891,BRADESCO,MARCELO,SAQUE,2022-02-08T01:30:32,993.66
1005,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1029,2262,BB,LUCIA,SAQUE,2022-02-12T10:31:13,414.98
1082,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1052,8950,SANTANDER,MARCELO,SAQUE,2022-02-08T17:20:56,850.56
1069,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1028,2288,ITAU,PEDRO,SAQUE,2022-02-10T16:52:41,600.34
1086,3879,SANTANDER,JOAO,SAQUE,2022-02-07T17:30:50,858.37
1031,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1082,6242,BRADESCO,FELIPE,DEPOSITO,2022-02-02T04:41:05,781.14
1006,0502,BB,CLARA,DEPOSITO,2022-02-06T09:07:37,390.52
1033,4924,BRADESCO,LUCIA,SAQUE,2022-02-06T08:05:18,984.46
1084,0469,BB,CLARA,SAQUE,2022-02-10T13:31:53,630.3
1069,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1082,2537,NUBANK,MARCELO,SAQUE,2022-02-04T05:18:55,336.41
1051,4078,BB,FELIPE,SAQUE,2022-02-09T06:41:23,811.05
1035,4392,BRADESCO,FELIPE,SAQUE,2022-02-11T13:52:22,580.84
1055,1175,BB,FELIPE,SAQUE,2022-02-05T18:35:12,846.24
1020,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1036,5913,ITAU,CLARA,DEPOSITO,2022-02-07T16:13:37,460.42
1028,7061,BRADESCO,FELIPE,DEPOSITO,2022-02-11T12:48:19,402.85
1046,6242,BRADESCO,FELIPE,DEPOSITO,2022-02-02T04:41:05,781.14
1085,0535,SANTANDER,LUCIA,DEPOSITO,2022-02-10T21:30:19,103.2
1072,3123,BRADESCO,ANA,SAQUE,2022-02-11T13:24:34,812.99
1060,4134,ITAU,MARCELO,SAQUE,2022-02-08T01:11:47,277.31
1006,5212,ITAU,FELIPE,DEPOSITO,2022-02-10T05:50:50,555.84
1029,6732,BB,PEDRO,DEPOSITO,2022-02-09T08:45:42,674.19
1080,9121,SANTANDER,JOAO,SAQUE,2022-02-05T23:03:30,177.26
1027,4211,NUBANK,LUCIA,DEPOSITO,2022-02-03T10:40:18,446.44
1059,6980,SANTANDER,CRISTINA,DEPOSITO,2022-02-03T02:45:02,639.61
1081,2121,BB,PEDRO,DEPOSITO,2022-02-05T13:46:18,626.96
1018,2288,ITAU,PEDRO,SAQUE,2022-02-10T16:52:41,600.34
1065,1453,BB,PEDRO,DEPOSITO,2022-02-06T13:15:28,228.68
1028,4342,SANTANDER,JOAO,SAQUE,2022-02-03T06:17:04,846.6
1046,4211,NUBANK,LUCIA,DEPOSITO,2022-02-03T10:40:18,446.44
1054,1791,NUBANK,JOAO,DEPOSITO,2022-02-11T15:21:35,487.32
1020,5452,SANTANDER,ANA,DEPOSITO,2022-02-10T20:20:10,461.47
1043,4871,ITAU,PEDRO,DEPOSITO,2022-02-06T03:27:53,211.28
1087,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1080,5941,ITAU,ANA,DEPOSITO,2022-02-06T05:34:01,980.1
1054,9940,BB,CLARA,DEPOSITO,2022-02-11T22:22:37,30.63
1073,0838,ITAU,JOAO,SAQUE,2022-02-04T08:19:19,771.65
1038,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1016,5913,ITAU,CLARA,DEPOSITO,2022-02-07T16:13:37,460.42
1086,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1043,4995,SANTANDER,MARCELO,SAQUE,2022-02-12T02:51:04,315.23
1094,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1047,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1049,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1069,6622,BRADESCO,LUCIA,DEPOSITO,2022-02-01T17:56:55,756.05
1055,1791,NUBANK,JOAO,DEPOSITO,2022-02-11T15:21:35,487.32
1046,0227,ITAU,CRISTINA,DEPOSITO,2022-02-04T22:14:27,977.96
1004,3952,NUBANK,PEDRO,DEPOSITO,2022-02-03T22:27:56,536.13
1018,3871,SANTANDER,ANA,DEPOSITO,2022-02-05T00:32:58,380.44
1022,0603,BB,CRISTINA,DEPOSITO,2022-02-08T09:27:35,432.5
1021,9095,NUBANK,MARCELO,SAQUE,2022-02-08T12:30:23,250.26
1003,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1008,0852,SANTANDER,FELIPE,DEPOSITO,2022-02-04T06:14:01,601.87
1091,9095,NUBANK,MARCELO,SAQUE,2022-02-08T12:30:23,250.26
1039,7138,NUBANK,JOAO,SAQUE,2022-02-07T10:44:11,529.51
1070,4342,SANTANDER,JOAO,SAQUE,2022-02-03T06:17:04,846.6
1091,7138,NUBANK,JOAO,SAQUE,2022-02-07T10:44:11,529.51
1065,2262,BB,LUCIA,SAQUE,2022-02-12T10:31:13,414.98
1038,1175,BB,FELIPE,SAQUE,2022-02-05T18:35:12,846.24
1033,5941,ITAU,ANA,DEPOSITO,2022-02-06T05:34:01,980.1
1077,0102,SANTANDER,ANA,DEPOSITO,2022-02-04T16:37:30,777.39
1021,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1078,0838,ITAU,JOAO,SAQUE,2022-02-04T08:19:19,771.65
1044,1172,BB,MARCELO,SAQUE,2022-02-01T09:22:59,234.8
1054,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1060,9915,ITAU,CRISTINA,SAQUE,2022-02-06T21:56:14,682.24
1039,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1063,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1053,6242,BRADESCO,FELIPE,DEPOSITO,2022-02-02T04:41:05,781.14
1025,0852,SANTANDER,FELIPE,DEPOSITO,2022-02-04T06:14:01,601.87
1041,8476,NUBANK,JOAO,DEPOSITO,2022-02-02T23:09:57,309.22
1038,2288,ITAU,PEDRO,SAQUE,2022-02-10T16:52:41,600.34
1058,4211,NUBANK,LUCIA,DEPOSITO,2022-02-03T10:40:18,446.44
1100,4211,NUBANK,LUCIA,DEPOSITO,2022-02-03T10:40:18,446.44
1086,8258,SANTANDER,FELIPE,SAQUE,2022-02-08T13:31:54,368.04
1073,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1019,2288,ITAU,PEDRO,SAQUE,2022-02-10T16:52:41,600.34
1041,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1040,4134,ITAU,MARCELO,SAQUE,2022-02-08T01:11:47,277.31
1091,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1055,0228,NUBANK,FELIPE,DEPOSITO,2022-02-05T16:39:44,534.13
1084,3962,BB,CRISTINA,SAQUE,2022-02-10T02:21:13,920.94
1063,8459,SANTANDER,MARCELO,SAQUE,2022-02-01T06:05:38,155.79
1029,0496,ITAU,JOAO,DEPOSITO,2022-02-07T06:22:36,535.0
1078,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1082,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1033,3123,BRADESCO,ANA,SAQUE,2022-02-11T13:24:34,812.99
1087,1172,BB,MARCELO,SAQUE,2022-02-01T09:22:59,234.8
1067,0228,NUBANK,FELIPE,DEPOSITO,2022-02-05T16:39:44,534.13
1084,8854,ITAU,MARCELO,DEPOSITO,2022-02-03T21:27:07,133.59
1046,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1018,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1031,3871,SANTANDER,ANA,DEPOSITO,2022-02-05T00:32:58,380.44
1029,0227,ITAU,CRISTINA,DEPOSITO,2022-02-04T22:14:27,977.96
1056,9121,SANTANDER,JOAO,SAQUE,2022-02-05T23:03:30,177.26
1021,9421,BRADESCO,JOAO,DEPOSITO,2022-02-05T08:27:28,309.95
1083,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1014,0511,SANTANDER,CLARA,SAQUE,2022-02-03T11:42:39,183.73
1054,5452,SANTANDER,ANA,DEPOSITO,2022-02-10T20:20:10,461.47
1031,3952,NUBANK,PEDRO,DEPOSITO,2022-02-03T22:27:56,536.13
1011,6158,NUBANK,MARCELO,DEPOSITO,2022-02-05T20:00:26,514.46
1029,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1054,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1058,3251,SANTANDER,ANA,SAQUE,2022-02-10T07:51:14,670.09
1080,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1035,1597,BRADESCO,PEDRO,DEPOSITO,2022-02-04T16:30:47,297.43
1074,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1032,6158,NUBANK,MARCELO,DEPOSITO,2022-02-05T20:00:26,514.46
1003,4392,BRADESCO,FELIPE,SAQUE,2022-02-11T13:52:22,580.84
1019,8854,ITAU,MARCELO,DEPOSITO,2022-02-03T21:27:07,133.59
1036,1597,BRADESCO,PEDRO,DEPOSITO,2022-02-04T16:30:47,297.43
1031,5452,SANTANDER,ANA,DEPOSITO,2022-02-10T20:20:10,461.47
1004,0502,BB,CLARA,DEPOSITO,2022-02-06T09:07:37,390.52
1080,6891,BRADESCO,MARCELO,SAQUE,2022-02-08T01:30:32,993.66
1005,9986,NUBANK,CLARA,DEPOSITO,2022-02-06T14:01:10,694.08
1064,0603,BB,CRISTINA,DEPOSITO,2022-02-08T09:27:35,432.5
1064,3123,BRADESCO,ANA,SAQUE,2022-02-11T13:24:34,812.99
1048,3879,SANTANDER,JOAO,SAQUE,2022-02-07T17:30:50,858.37
1059,5343,SANTANDER,JOAO,SAQUE,2022-02-02T05:25:21,306.79
1012,8258,SANTANDER,FELIPE,SAQUE,2022-02-08T13:31:54,368.04
1009,6322,ITAU,JOAO,SAQUE,2022-02-09T00:01:54,814.32
1096,3451,NUBANK,PEDRO,SAQUE,2022-02-09T22:48:53,720.08
1052,8854,ITAU,MARCELO,DEPOSITO,2022-02-03T21:27:07,133.59
1063,4472,NUBANK,LUCIA,SAQUE,2022-02-05T09:45:02,275.91
1094,6980,SANTANDER,CRISTINA,DEPOSITO,2022-02-03T02:45:02,639.61
1027,3123,BRADESCO,ANA,SAQUE,2022-02-11T13:24:34,812.99
1044,5343,SANTANDER,JOAO,SAQUE,2022-02-02T05:25:21,306.79
1094,4695,SANTANDER,PEDRO,DEPOSITO,2022-02-06T19:40:32,85.46
1058,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1085,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1026,1172,BB,MARCELO,SAQUE,2022-02-01T09:22:59,234.8
1087,6242,BRADESCO,FELIPE,DEPOSITO,2022-02-02T04:41:05,781.14
1078,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1041,0469,BB,CLARA,SAQUE,2022-02-10T13:31:53,630.3
1085,3962,BB,CRISTINA,SAQUE,2022-02-10T02:21:13,920.94
1045,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1060,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1062,9769,NUBANK,LUCIA,DEPOSITO,2022-02-02T19:36:00,904.27
1015,0511,SANTANDER,CLARA,SAQUE,2022-02-03T11:42:39,183.73
1065,2648,SANTANDER,LUCIA,DEPOSITO,2022-02-09T00:02:24,660.55
1005,5027,NUBANK,CRISTINA,SAQUE,2022-02-06T06:15:26,690.18
1026,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1056,4078,BB,FELIPE,SAQUE,2022-02-09T06:41:23,811.05
1028,5941,ITAU,ANA,DEPOSITO,2022-02-06T05:34:01,980.1
1078,2648,SANTANDER,LUCIA,DEPOSITO,2022-02-09T00:02:24,660.55
1005,5343,SANTANDER,JOAO,SAQUE,2022-02-02T05:25:21,306.79
1099,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1090,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1099,3879,SANTANDER,JOAO,SAQUE,2022-02-07T17:30:50,858.37
1053,2262,BB,LUCIA,SAQUE,2022-02-12T10:31:13,414.98
1079,0469,BB,CLARA,SAQUE,2022-02-10T13:31:53,630.3
1057,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1079,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1092,6465,SANTANDER,MARCELO,DEPOSITO,2022-02-03T15:26:35,555.1
1056,3962,BB,CRISTINA,SAQUE,2022-02-10T02:21:13,920.94
1056,8258,SANTANDER,FELIPE,SAQUE,2022-02-08T13:31:54,368.04
1091,9390,ITAU,PEDRO,SAQUE,2022-02-09T15:40:56,148.84
1064,2121,BB,PEDRO,DEPOSITO,2022-02-05T13:46:18,626.96
1031,8539,NUBANK,MARCELO,DEPOSITO,2022-02-05T16:07:58,951.35
1036,8277,BB,LUCIA,DEPOSITO,2022-02-05T10:55:33,542.02
1042,0227,ITAU,CRISTINA,DEPOSITO,2022-02-04T22:14:27,977.96
1048,5913,ITAU,CLARA,DEPOSITO,2022-02-07T16:13:37,460.42
1011,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1086,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1062,7988,NUBANK,ANA,DEPOSITO,2022-02-11T06:31:32,498.12
1077,0511,SANTANDER,CLARA,SAQUE,2022-02-03T11:42:39,183.73
1069,0227,ITAU,CRISTINA,DEPOSITO,2022-02-04T22:14:27,977.96
1082,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1073,2121,BB,PEDRO,DEPOSITO,2022-02-05T13:46:18,626.96
1076,4871,ITAU,PEDRO,DEPOSITO,2022-02-06T03:27:53,211.28
1085,7138,NUBANK,JOAO,SAQUE,2022-02-07T10:44:11,529.51
1028,4211,NUBANK,LUCIA,DEPOSITO,2022-02-03T10:40:18,446.44
1017,7138,NUBANK,JOAO,SAQUE,2022-02-07T10:44:11,529.51
1075,6622,BRADESCO,LUCIA,DEPOSITO,2022-02-01T17:56:55,756.05
1015,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1066,8277,BB,LUCIA,DEPOSITO,2022-02-05T10:55:33,542.02
1052,1172,BB,MARCELO,SAQUE,2022-02-01T09:22:59,234.8
1065,5331,BRADESCO,MARCELO,SAQUE,2022-02-05T22:40:28,183.67
1063,0838,ITAU,JOAO,SAQUE,2022-02-04T08:19:19,771.65
1050,3251,SANTANDER,ANA,SAQUE,2022-02-10T07:51:14,670.09
1029,4924,BRADESCO,LUCIA,SAQUE,2022-02-06T08:05:18,984.46
1036,9986,NUBANK,CLARA,DEPOSITO,2022-02-06T14:01:10,694.08
1084,0102,SANTANDER,ANA,DEPOSITO,2022-02-04T16:37:30,777.39
1090,9979,BB,LUCIA,DEPOSITO,2022-02-12T04:19:30,551.4
1088,4472,NUBANK,LUCIA,SAQUE,2022-02-05T09:45:02,275.91
1041,4078,BB,FELIPE,SAQUE,2022-02-09T06:41:23,811.05
1056,5027,NUBANK,CRISTINA,SAQUE,2022-02-06T06:15:26,690.18
1012,8539,NUBANK,MARCELO,DEPOSITO,2022-02-05T16:07:58,951.35
1091,5331,BRADESCO,MARCELO,SAQUE,2022-02-05T22:40:28,183.67
1082,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1003,8277,BB,LUCIA,DEPOSITO,2022-02-05T10:55:33,542.02
1069,4404,NUBANK,CLARA,SAQUE,2022-02-08T20:59:39,393.31
1024,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1090,5027,NUBANK,CRISTINA,SAQUE,2022-02-06T06:15:26,690.18
1068,9915,ITAU,CRISTINA,SAQUE,2022-02-06T21:56:14,682.24
1099,3871,SANTANDER,ANA,DEPOSITO,2022-02-05T00:32:58,380.44
1083,7988,NUBANK,ANA,DEPOSITO,2022-02-11T06:31:32,498.12
1051,6756,SANTANDER,CRISTINA,SAQUE,2022-02-04T18:33:33,45.9
1017,1172,BB,MARCELO,SAQUE,2022-02-01T09:22:59,234.8
1032,7571,BRADESCO,ANA,SAQUE,2022-02-11T18:54:00,862.54
1031,4134,ITAU,MARCELO,SAQUE,2022-02-08T01:11:47,277.31
1027,9915,ITAU,CRISTINA,SAQUE,2022-02-06T21:56:14,682.24
1038,8476,NUBANK,JOAO,DEPOSITO,2022-02-02T23:09:57,309.22
1081,3133,BB,ANA,SAQUE,2022-02-03T15:59:07,778.58
1084,5331,BRADESCO,MARCELO,SAQUE,2022-02-05T22:40:28,183.67
1084,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1020,6622,BRADESCO,LUCIA,DEPOSITO,2022-02-01T17:56:55,756.05
1092,6732,BB,PEDRO,DEPOSITO,2022-02-09T08:45:42,674.19
1094,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1090,3342,BB,ANA,DEPOSITO,2022-02-04T19:36:33,991.56
1008,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1100,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1054,4472,NUBANK,LUCIA,SAQUE,2022-02-05T09:45:02,275.91
1051,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1038,8854,ITAU,MARCELO,DEPOSITO,2022-02-03T21:27:07,133.59
1055,9095,NUBANK,MARCELO,SAQUE,2022-02-08T12:30:23,250.26
1003,9778,SANTANDER,FELIPE,DEPOSITO,2022-02-08T14:48:04,368.63
1044,8539,NUBANK,MARCELO,DEPOSITO,2022-02-05T16:07:58,951.35
1009,5212,ITAU,FELIPE,DEPOSITO,2022-02-10T05:50:50,555.84
1005,9390,ITAU,PEDRO,SAQUE,2022-02-09T15:40:56,148.84
1084,4404,NUBANK,CLARA,SAQUE,2022-02-08T20:59:39,393.31
1087,3451,NUBANK,PEDRO,SAQUE,2022-02-09T22:48:53,720.08
1028,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1010,9986,NUBANK,CLARA,DEPOSITO,2022-02-06T14:01:10,694.08
1055,9121,SANTANDER,JOAO,SAQUE,2022-02-05T23:03:30,177.26
1020,8539,NUBANK,MARCELO,DEPOSITO,2022-02-05T16:07:58,951.35
1011,9421,BRADESCO,JOAO,DEPOSITO,2022-02-05T08:27:28,309.95
1083,2262,BB,LUCIA,SAQUE,2022-02-12T10:31:13,414.98
1036,5941,ITAU,ANA,DEPOSITO,2022-02-06T05:34:01,980.1
1016,0228,NUBANK,FELIPE,DEPOSITO,2022-02-05T16:39:44,534.13
1016,8950,SANTANDER,MARCELO,SAQUE,2022-02-08T17:20:56,850.56
1031,0228,NUBANK,FELIPE,DEPOSITO,2022-02-05T16:39:44,534.13
1089,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1037,2121,BB,PEDRO,DEPOSITO,2022-02-05T13:46:18,626.96
1033,9664,ITAU,CRISTINA,DEPOSITO,2022-02-06T05:13:43,731.33
1041,6449,BB,FELIPE,SAQUE,2022-02-04T18:16:10,647.3
1022,4078,BB,FELIPE,SAQUE,2022-02-09T06:41:23,811.05
1071,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1029,9095,NUBANK,MARCELO,SAQUE,2022-02-08T12:30:23,250.26
1052,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1009,5913,ITAU,CLARA,DEPOSITO,2022-02-07T16:13:37,460.42
1009,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1076,1791,NUBANK,JOAO,DEPOSITO,2022-02-11T15:21:35,487.32
1081,3251,SANTANDER,ANA,SAQUE,2022-02-10T07:51:14,670.09
1074,0102,SANTANDER,ANA,DEPOSITO,2022-02-04T16:37:30,777.39
1050,2288,ITAU,PEDRO,SAQUE,2022-02-10T16:52:41,600.34
1046,9915,ITAU,CRISTINA,SAQUE,2022-02-06T21:56:14,682.24
1100,1065,SANTANDER,CLARA,DEPOSITO,2022-02-01T03:06:16,555.04
1090,0496,ITAU,JOAO,DEPOSITO,2022-02-07T06:22:36,535.0
1048,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1089,5941,ITAU,ANA,DEPOSITO,2022-02-06T05:34:01,980.1
1077,3451,NUBANK,PEDRO,SAQUE,2022-02-09T22:48:53,720.08
1004,0511,SANTANDER,CLARA,SAQUE,2022-02-03T11:42:39,183.73
1050,0737,NUBANK,PEDRO,DEPOSITO,2022-02-08T19:48:09,572.34
1097,7895,BRADESCO,CRISTINA,DEPOSITO,2022-02-12T09:20:43,10.72
1039,3251,SANTANDER,ANA,SAQUE,2022-02-10T07:51:14,670.09
1069,8258,SANTANDER,FELIPE,SAQUE,2022-02-08T13:31:54,368.04
1051,4924,BRADESCO,LUCIA,SAQUE,2022-02-06T08:05:18,984.46
1013,4296,SANTANDER,PEDRO,SAQUE,2022-02-09T15:38:59,749.74
1005,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1024,1114,ITAU,MARCELO,SAQUE,2022-02-06T19:33:53,167.48
1046,0838,ITAU,JOAO,SAQUE,2022-02-04T08:19:19,771.65
1097,4404,NUBANK,CLARA,SAQUE,2022-02-08T20:59:39,393.31
1100,8340,BB,CLARA,SAQUE,2022-02-08T19:26:01,392.06
1021,6732,BB,PEDRO,DEPOSITO,2022-02-09T08:45:42,674.19
1008,3451,NUBANK,PEDRO,SAQUE,2022-02-09T22:48:53,720.08
1053,7571,BRADESCO,ANA,SAQUE,2022-02-11T18:54:00,862.54
1071,3333,ITAU,MARCELO,DEPOSITO,2022-02-11T17:17:05,664.5
1017,7571,BRADESCO,ANA,SAQUE,2022-02-11T18:54:00,862.54
1026,4134,ITAU,MARCELO,SAQUE,2022-02-08T01:11:47,277.31
1077,3871,SANTANDER,ANA,DEPOSITO,2022-02-05T00:32:58,380.44
1051,6088,ITAU,LUCIA,SAQUE,2022-02-11T01:37:31,707.05
1035,8854,ITAU,MARCELO,DEPOSITO,2022-02-03T21:27:07,133.59
1016,7988,NUBANK,ANA,DEPOSITO,2022-02-11T06:31:32,498.12
1058,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1078,4658,BB,MARCELO,SAQUE,2022-02-07T14:29:48,745.91
1040,3251,SANTANDER,ANA,SAQUE,2022-02-10T07:51:14,670.09
1005,9660,BB,ANA,DEPOSITO,2022-02-05T21:45:02,506.26
1073,0852,SANTANDER,FELIPE,DEPOSITO,2022-02-04T06:14:01,601.87
1062,3879,SANTANDER,JOAO,SAQUE,2022-02-07T17:30:50,858.37
1090,7571,BRADESCO,ANA,SAQUE,2022-02-11T18:54:00,862.54
1089,3599,NUBANK,JOAO,SAQUE,2022-02-10T21:41:20,742.12
1073,5452,SANTANDER,ANA,DEPOSITO,2022-02-10T20:20:10,461.47
1100,8730,NUBANK,ANA,DEPOSITO,2022-02-11T12:36:04,984.3
1015,8888,BB,MARCELO,SAQUE,2022-02-10T12:36:12,649.02
1015,4341,SANTANDER,CRISTINA,SAQUE,2022-02-05T06:32:14,396.22
1019,6889,NUBANK,JOAO,SAQUE,2022-02-01T23:07:45,744.61
1058,4995,SANTANDER,MARCELO,SAQUE,2022-02-12T02:51:04,315.23
1026,7988,NUBANK,ANA,DEPOSITO,2022-02-11T06:31:32,498.12
1037,6891,BRADESCO,MARCELO,SAQUE,2022-02-08T01:30:32,993.66
